+--------------------------------------------------------------------------------------------------+--------+-----------------+
|                                         Nombre artículo                                          |  $$$   |     Almacen     |
+--------------------------------------------------------------------------------------------------+--------+-----------------+
|                                  Aceitunas Aros NUCETE x 250 g                                   |  102   |     Devoto      |
|                                  Aceitunas Aros NUCETE x 250 g                                   |  102   |      Disco      |
|                                Aceitunas Rellenas NUCETE x 250 g                                 |  112   |     Devoto      |
|                                Aceitunas Rellenas NUCETE x 250 g                                 |  112   |      Disco      |
|                               Aceitunas con Carozo NUCETE x 250 g                                |  71    |     Devoto      |
|                               Aceitunas con Carozo NUCETE x 250 g                                |  71    |      Disco      |
|                               Aceitunas sin Carozo NUCETE x 230 g                                |  103   |     Devoto      |
|                               Aceitunas sin Carozo NUCETE x 230 g                                |  103   |      Disco      |
|                                         Acelga Envasada                                          |  40    |     Devoto      |
|                                         Acelga Envasada                                          |  40    |      Disco      |
|                          Acelga Envasada Granja MG TIENDA INGLESA 800g                           |  68    | Tienda Inglesa  |
|                                    Acelga orgánica Don Quico                                     |  43    |     Devoto      |
|                                    Acelga orgánica Don Quico                                     |  43    |      Disco      |
|                                      Adobo Totoral Seco 50g                                      |  93    | Tienda Inglesa  |
|                                       Ajo Picado ARDO 250g                                       |  195   | Tienda Inglesa  |
|                                    Ajo TOTORAL en Escamas 20g                                    |  59    | Tienda Inglesa  |
|                                        Ajo especial 2 un.                                        |  70    |     Devoto      |
|                                        Ajo especial 2 un.                                        |  70    |      Disco      |
|                                    Ajo importado especial x 2                                    |  70    |     Devoto      |
|                                   Ají Molido TOTORAL Seco 25g                                    |  66    | Tienda Inglesa  |
|                                        Albahaca Envasada                                         |  50    |     Devoto      |
|                                        Albahaca Envasada                                         |  50    |      Disco      |
|                                 Albahaca Hidropónica BAKAR 25 g                                  |  47    |     Devoto      |
|                             Albahaca Hidropónica TIENDA INGLESA 25g                              |  67    | Tienda Inglesa  |
|                                    Albahaca MI CHACRITA  25g                                     |  59    | Tienda Inglesa  |
|                                         Albahaca Maceta                                          |   0    |      Disco      |
|                                         Albahaca Maceta                                          |  60    |     Devoto      |
|                                     Albahaca Nuestra Quinta                                      |  60    |     Devoto      |
|                                Albahaca PUNTO VERDE Orgánica 25g                                 |  65    | Tienda Inglesa  |
|                                    Albahaca TOTORAL Seca 25g                                     |  61    | Tienda Inglesa  |
|                               Albahaca hidropónica El Fortín 25 g                                |  50    |     Devoto      |
|                               Albahaca hidropónica El Fortín 25 g                                |  50    |      Disco      |
|                                    Albahaca invernáculo 50 g                                     |  60    |     Devoto      |
|                                    Albahaca invernáculo 50 g                                     |  60    |      Disco      |
|                                        Albahaca orgánica                                         |  50    |      Disco      |
|                                           Alcaucil un.                                           |  40    |     Devoto      |
|                                 Almendra con Chocolate pt. 120g                                  |  215   |     Devoto      |
|                                  Almendra natural pelada 300 g                                   |  299   |     Devoto      |
|                              Almendra pelada Rio de la Plata 100 g                               |  168   |     Devoto      |
|                              Almendra pelada Rio de la Plata 100 g                               |  168   |      Disco      |
|                                  Almendra tostada sin sal 150 g                                  |  189   |     Devoto      |
|                                  Almendra tostada sin sal 300 g                                  |  329   |     Devoto      |
|                                  Almendra tostada sin sal 300 g                                  |  329   |      Disco      |
|                                 Almendras Acarameladas pt. 120 g                                 |  199   |     Devoto      |
|                                 Almendras ahumadas ULTJE 150 gr                                  |  256   |     Devoto      |
|                                 Almendras ahumadas ULTJE 150 gr                                  |  256   |      Disco      |
|                         Almendras peladas y tostado LA ABUNDANCIA 100 g                          |  160   |     Devoto      |
|                         Almendras peladas y tostado LA ABUNDANCIA 100 g                          |  160   |      Disco      |
|                               Almendras saladas BLUE DIAMOND 150 g                               |  400   |     Devoto      |
|                               Almendras saladas BLUE DIAMOND 150 g                               |  400   |      Disco      |
|                          Almendras saladas con miel BLUE DIAMOND 150 g                           |  400   |     Devoto      |
|                          Almendras saladas con miel BLUE DIAMOND 150 g                           |  400   |      Disco      |
|                          Almendras saladas y ahumada BLUE DIAMOND 150 g                          |  400   |     Devoto      |
|                          Almendras saladas y ahumada BLUE DIAMOND 150 g                          |  400   |      Disco      |
|                                 Almendras tostadas sin sal 1 kg                                  | 1.150  |     Devoto      |
|                                   Anana PINGAKOL en Cubos 200g                                   |  139   | Tienda Inglesa  |
|                                  Ananá PINGAKOL en Trozos 600g                                   |  232   | Tienda Inglesa  |
|                                 Ananá en cubos Club Verde 350 g                                  |  140   |      Disco      |
|                                            Apio Gusto                                            |  25    |     Devoto      |
|                                            Apio Gusto                                            |  25    |      Disco      |
|                                     Apio Gusto Orgánico 80gr                                     |  32    | Tienda Inglesa  |
|                                       Apio Gusto orgánico                                        |  27    |     Devoto      |
|                                       Apio Gusto orgánico                                        |  27    |      Disco      |
|                                           Apio Planta                                            |  99    | Tienda Inglesa  |
|                                       Apio Planta Especial                                       |  90    |     Devoto      |
|                                       Apio Planta Especial                                       |  90    |      Disco      |
|                                       Apio para Gusto 80g                                        |  28    | Tienda Inglesa  |
|                                     Apio tallo bandeja 300 g                                     |  90    |     Devoto      |
|                                     Apio tallo bandeja 300 g                                     |  90    |      Disco      |
|                                      Arándano petaca 125 g                                       |  50    |     Devoto      |
|                                      Arándano petaca 125 g                                       |  50    |      Disco      |
|                                    Arándanos Lurberri 100 grs                                    |  54    | Tienda Inglesa  |
|                                 Arándanos Petaca PINGAKOL  125g                                  |  64    | Tienda Inglesa  |
|                              Avellanas peladas La Abundancia 100 g                               |  148   |     Devoto      |
|                              Avellanas peladas La Abundancia 100 g                               |  148   |      Disco      |
|                                     Banana Dole Ecuador (Kg)                                     |  147   | Tienda Inglesa  |
|                                    Banana Dole aprox. x 250 g                                    |  32    |     Devoto      |
|                                    Banana Dole aprox. x 250 g                                    |  32    |      Disco      |
|                                       Banana Ecuador (Kg)                                        |  112   | Tienda Inglesa  |
|                               Banana Ecuador oferta aprox. x 250 g                               |  22    |     Devoto      |
|                               Banana Ecuador oferta aprox. x 250 g                               |  22    |      Disco      |
|                                  Banana ecuador aprox. x 200 g                                   |  20    |      Disco      |
|                                 Bayas de goji Madre Tierra 100 g                                 |  171   |     Devoto      |
|                                 Bayas de goji Madre Tierra 100 g                                 |  171   |      Disco      |
|                                          Berenjena (Kg)                                          |  104   | Tienda Inglesa  |
|                                Berenjena Jaspeada aprox. x 250 g                                 |  20    |     Devoto      |
|                                Berenjena Jaspeada aprox. x 250 g                                 |  20    |      Disco      |
|                                        Berenjena Mix (Kg)                                        |  89    | Tienda Inglesa  |
|                                     Berenjena a Granel (Kg)                                      |  93    | Tienda Inglesa  |
|                                      Berenjena apro x 500 g                                      |  35    |      Disco      |
|                              Berro invernáculo Nuestra Quinta 150 g                              |  60    |     Devoto      |
|                                      Berro picante envasado                                      |  65    |     Devoto      |
|                                  Boniato Arapey aprox. x 300 g                                   |  21    |     Devoto      |
|                                  Boniato Arapey aprox. x 300 g                                   |  21    |      Disco      |
|                                 Boniato Mediano LOMA VERDE (kg)                                  |  85    | Tienda Inglesa  |
|                                  Boniato Parrillero por Unidad                                   |  26    | Tienda Inglesa  |
|                                 Boniato Zanahoria aprox. x 300 g                                 |  24    |     Devoto      |
|                                 Boniato Zanahoria aprox. x 300 g                                 |  24    |      Disco      |
|                                 Boniato criollo Club Verde 500 g                                 |  85    |     Devoto      |
|                                 Boniato criollo Club Verde 500 g                                 |  85    |      Disco      |
|                                 Boniato orgánico aprox. x 300 g                                  |  18    |     Devoto      |
|                                 Boniato orgánico aprox. x 300 g                                  |  18    |      Disco      |
|                                Boniato zanahoria orgánico x 330 g                                |  21    |     Devoto      |
|                                          Broccoli (Kg)                                           |  87    | Tienda Inglesa  |
|                                     Brotes de Alfalfa 100 g                                      |  80    |     Devoto      |
|                           Brotes de Alfalfa 100% Natural Tai Pote 100g                           |  92    | Tienda Inglesa  |
|                                  Brotes de Soja Tai Fresca 200g                                  |  112   | Tienda Inglesa  |
|                                      Brotes de Soja en bja.                                      |  100   |     Devoto      |
|                                      Brotes de Soja en bja.                                      |  100   |      Disco      |
|                                       Brócoli apro x 600 g                                       |  30    |     Devoto      |
|                                       Brócoli apro x 600 g                                       |  30    |      Disco      |
|                                     Calabacín apro x 1,5 kg                                      |  75    |     Devoto      |
|                                     Calabacín apro x 1,5 kg                                      |  75    |      Disco      |
|                                Calabacín orgánico aprox. x 1,5 kg                                |  70    |     Devoto      |
|                                Calabacín orgánico aprox. x 1,5 kg                                |  70    |      Disco      |
|                                   Calabacín rodaja aprox 1 kg                                    |  54    |     Devoto      |
|                                   Calabacín rodaja aprox 1 kg                                    |  54    |      Disco      |
|                                    Canela TOTORAL Molida 20g                                     |  59    | Tienda Inglesa  |
|                                 Castaña cajú LA ABUNDANCIA 100 g                                 |  160   |     Devoto      |
|                                 Castaña cajú LA ABUNDANCIA 100 g                                 |  160   |      Disco      |
|                       Castaña cajú tostadas y saladas LA ABUNDANCIA 100 g                        |  160   |     Devoto      |
|                       Castaña cajú tostadas y saladas LA ABUNDANCIA 100 g                        |  160   |      Disco      |
|                               Castaña de caju tostada salada 300 g                               |  345   |     Devoto      |
|                               Castaña de caju tostada salada 300 g                               |  345   |      Disco      |
|                                  Castaña de cajú natural 150 g                                   |  175   |     Devoto      |
|                                  Castaña de cajú natural 150 g                                   |  175   |      Disco      |
|                                  Castaña de cajú natural 300 g                                   |  315   |     Devoto      |
|                                  Castaña de cajú natural 300 g                                   |  315   |      Disco      |
|                               Castaña de cajú tostada salada 150 g                               |  185   |     Devoto      |
|                               Castaña de cajú tostada salada 150 g                               |  185   |      Disco      |
|                               Castaña de cajú tostada sin sal 1 kg                               |  949   |     Devoto      |
|                               Castaña de cajú tostada sin sal 1 kg                               |  949   |      Disco      |
|                              Castaña de cajú tostada sin sal 150 g                               |  189   |     Devoto      |
|                              Castaña de cajú tostada sin sal 300 g                               |  345   |     Devoto      |
|                              Castaña de cajú tostada sin sal 300 g                               |  345   |      Disco      |
|                              Castañas de cajú RIO DE LA PLATA 100 g                              |  179   |     Devoto      |
|                              Castañas de cajú RIO DE LA PLATA 100 g                              |  179   |      Disco      |
|                          Castañas de cajú sin sal RIO DE LA PLATA 100 g                          |  179   |     Devoto      |
|                          Castañas de cajú sin sal RIO DE LA PLATA 100 g                          |  179   |      Disco      |
|                                   Castañas de cajú ÜLTJE 150 g                                   |  272   |     Devoto      |
|                                   Castañas de cajú ÜLTJE 150 g                                   |  272   |      Disco      |
|                                   Catalán Dulce Orgánico (Kg)                                    |  145   | Tienda Inglesa  |
|                                         Catalán Picante                                          |  100   |     Devoto      |
|                                       Catalán Picante (Kg)                                       |  173   | Tienda Inglesa  |
|                                           Cebolla (Kg)                                           |  54    | Tienda Inglesa  |
|                                   Cebolla Colorada Granel (Kg)                                   |  54    | Tienda Inglesa  |
|                                      Cebolla Dulce en Malla                                      |  69    | Tienda Inglesa  |
|                                Cebolla Roja malla aprox. x 1,5 kg                                |  90    |     Devoto      |
|                                    Cebolla Seca Orgánica (kg)                                    |  65    | Tienda Inglesa  |
|                                Cebolla TIENDA INGLESA  Malla (Kg)                                |  62    | Tienda Inglesa  |
|                                         Cebolla bandeja                                          |  40    |      Disco      |
|                                       Cebolla blanca (kg)                                        |  72    | Tienda Inglesa  |
|                                       Cebolla colorada(kg)                                       |  59    | Tienda Inglesa  |
|                                 Cebolla en Aros  RODYVELL 350 gr                                 |  56    | Tienda Inglesa  |
|                                   Cebolla roja aprox. x 150 g                                    |   8    |     Devoto      |
|                                   Cebolla roja aprox. x 150 g                                    |   8    |      Disco      |
|                                   Cebolla roja malla importada                                   |  70    |     Devoto      |
|                                     Cebolla salteña x 200 g                                      |   8    |     Devoto      |
|                                     Cebolla salteña x 200 g                                      |   8    |      Disco      |
|                                     Cebolla verdeo colorada                                      |  50    |     Devoto      |
|                                          Cebollita 1kg                                           |  54    | Tienda Inglesa  |
|                                   Cebollita de Verdeo Orgánico                                   |  58    | Tienda Inglesa  |
|                                   Cebollín Envasado aprox 1 kg                                   |  80    |     Devoto      |
|                                   Cebollín Envasado aprox 1 kg                                   |  80    |      Disco      |
|                               Cereal aritos de avena y miel 500 g                                |  219   |     Devoto      |
|                               Cereal aritos de avena y miel 500 g                                |  219   |      Disco      |
|                                   Cereal aritos frutados 500 g                                   |  219   |     Devoto      |
|                              Cereal copos de maíz azucarados 500 g                               |  219   |     Devoto      |
|                              Cereal copos de maíz azucarados 500 g                               |  219   |      Disco      |
|                               Cereal copos de maíz naturales 500 g                               |  219   |     Devoto      |
|                                           Cerezas (kg)                                           |  598   | Tienda Inglesa  |
|                                     Cerezas Confitadas 200 g                                     |  105   |     Devoto      |
|                              Cerezas rojas confitadas premium 350 g                              |  259   |     Devoto      |
|                                Champignon blanco camponuevo 200 g                                |  125   |     Devoto      |
|                                Champignon blanco camponuevo 200 g                                |  125   |      Disco      |
|                                Champignones Alzer CAMPONUEVO 200g                                |  134   | Tienda Inglesa  |
|                             Champignones Fileteados CAMPONUEVO 200g                              |  138   | Tienda Inglesa  |
|                             Champignones Parrilleros CAMPONUEVO 200g                             |  134   | Tienda Inglesa  |
|                              Champignons Portobello CAMPONUEVO 200g                              |  168   | Tienda Inglesa  |
|                           Champiñón Blanco Fileteado CAMPONUEVO 200 g                            |  128   |     Devoto      |
|                           Champiñón Blanco Fileteado CAMPONUEVO 200 g                            |  128   |      Disco      |
|                           Champiñón Blanco Parrillero CAMPONUEVO 200 g                           |  125   |     Devoto      |
|                           Champiñón Blanco Parrillero CAMPONUEVO 200 g                           |  125   |      Disco      |
|                            Champiñón Portobello CAMPONUEVO bj. 200 g                             |  159   |     Devoto      |
|                            Champiñón Portobello CAMPONUEVO bj. 200 g                             |  159   |      Disco      |
|                                           Chaucha 400g                                           |  96    | Tienda Inglesa  |
|                                   Chaucha Alubia Orgánica 400g                                   |  64    | Tienda Inglesa  |
|                                      Chaucha alubia x 500 g                                      |  45    |     Devoto      |
|                                      Chaucha alubia x 500 g                                      |  45    |      Disco      |
|                                             Chauchas                                             |  90    |     Devoto      |
|                                Chauchas PUNTO VERDE Orgánica 400g                                |  52    | Tienda Inglesa  |
|                                Chips de Manzana Roja MIA bl. 85 g                                |  115   |     Devoto      |
|                               Chips de Manzana Verde MIA bl. 85 g                                |  115   |     Devoto      |
|                                         Choclo Dulce x2                                          |  82    | Tienda Inglesa  |
|                                   Choclo cocido al vacio 400 g                                   |  134   |     Devoto      |
|                                   Choclo cocido al vacio 400 g                                   |  134   |      Disco      |
|                                         Choclo dulce x 2                                         |  60    |     Devoto      |
|                                         Choclo dulce x 2                                         |  60    |      Disco      |
|                                            Ciboulette                                            |  63    | Tienda Inglesa  |
|                                       Ciboulette Envasado                                        |  50    |     Devoto      |
|                                       Ciboulette Envasado                                        |  50    |      Disco      |
|                                                 Ciboulette FINAS HIERBAS de Invernáculo 50g	                                                  |  66    | Tienda Inglesa  |
|                                    Ciboulette GRANJA MALLORCA                                    |  80    |      Disco      |
|                                        Ciboulette Maceta                                         |  60    |     Devoto      |
|                               Ciboulette NUESTRA QUINTA bja. 50 g                                |  60    |     Devoto      |
|                               Ciboulette NUESTRA QUINTA bja. 50 g                                |  60    |      Disco      |
|                            Cilantro FINAS HIERBAS de Invernáculo 30g                             |  61    | Tienda Inglesa  |
|                                         Cilantro Maceta                                          |  60    |     Devoto      |
|                                         Cilantro Maceta                                          |  60    |      Disco      |
|                                     Cilantro Nuestra Quinta                                      |  50    |     Devoto      |
|                                    Cilantro invernáculo 50 g                                     |  50    |     Devoto      |
|                                    Cilantro invernáculo 50 g                                     |  50    |      Disco      |
|                                      Ciruela Importada (kg)                                      |  192   | Tienda Inglesa  |
|                                   Ciruela roja aprox. x 100 g                                    |   7    |     Devoto      |
|                                   Ciruela roja aprox. x 100 g                                    |   7    |      Disco      |
|                                    Ciruelas Sin Carozo 150 g                                     |  70    |     Devoto      |
|                                    Ciruelas con Carozo 150 g                                     |  58    |     Devoto      |
|                                    Ciruelas con Carozo 150 g                                     |  58    |      Disco      |
|                                    Ciruelas con carozo 300 g                                     |  110   |     Devoto      |
|                                    Ciruelas sin carozo 300 g                                     |  119   |     Devoto      |
|                                            Coco (Kg)                                             |  148   | Tienda Inglesa  |
|                                        Coco apro x 500 g                                         |  65    |     Devoto      |
|                                        Coco apro x 500 g                                         |  65    |      Disco      |
|                              Coliflor (kg) (Peso Aproximado 800g.)                               |  73    | Tienda Inglesa  |
|                                      Coliflor apro x 900 g                                       |  45    |     Devoto      |
|                                      Coliflor apro x 900 g                                       |  45    |      Disco      |
|                                        Cramberries 300 g                                         |  235   |     Devoto      |
|                                      Cranberries pt. 150 g                                       |  129   |     Devoto      |
|                                 Crema de choclo REVELACIÓN 350 g                                 |  43    |     Devoto      |
|                                 Crema de choclo REVELACIÓN 350 g                                 |  43    |      Disco      |
|                                         Damasco 500 grs                                          |  122   | Tienda Inglesa  |
|                                      Damasco importado (kg)                                      |  195   | Tienda Inglesa  |
|                                     Datiles sin Carozo 200 g                                     |  139   |     Devoto      |
|                                           Durazno (Kg)                                           |  92    | Tienda Inglesa  |
|                                      Durazno aprox. x 130 g                                      |  10    |     Devoto      |
|                                      Durazno aprox. x 130 g                                      |  10    |      Disco      |
|                                     Dátiles con Carozo 200 g                                     |  119   |     Devoto      |
|                                     Dátiles con Carozo 200 g                                     |  119   |      Disco      |
|             Echalote sabor Intermedio entre la Cebolla y el Ajo PINGAKOL Bolsa 150g              |  99    | Tienda Inglesa  |
|                                        Echalotte en malla                                        |  90    |     Devoto      |
|                                      Endivia Importada 300g                                      |  199   | Tienda Inglesa  |
|                                        Endivia importada                                         |  170   |     Devoto      |
|                                        Endivia importada                                         |  170   |      Disco      |
|                                     Eneldo Finas Hierbas 30g                                     |  61    | Tienda Inglesa  |
|                                      Eneldo Nuestra Quinta                                       |  50    |     Devoto      |
|                                      Ensalada DUO  150 grs                                       |  116   | Tienda Inglesa  |
|      Ensalada Estilo Gourmet Rúcula, Mizuna, Mostaza Morada y Lechuga GRANJA MALLORCA  150g      |  112   | Tienda Inglesa  |
|                                 Ensalada Gourmet GRANJA MALLORCA                                 |  90    |      Disco      |
|         Ensalada Mix Lechuga Americana, Zanahoria y Repollo Morado Rodyvell GRANJA 500g          |  142   | Tienda Inglesa  |
|                                      Ensalada Waldorf 400 g                                      |  70    |     Devoto      |
| Ensalada de Mizuna, Mostaza, Lechuga y Rúcula Pronta para Consumir Triple Lavado GRANJA MALLORCA |  148   | Tienda Inglesa  |
|   Ensalada de Remolacha, Zanahoria, Lechuga y Tomate Cherry GRANJA JUAN DELPINO  Messina 250g    |  99    | Tienda Inglesa  |
|                   Ensalada fresca Club Verde lechuga zanahoria repo pote 200 g                   |  100   |     Devoto      |
|                   Ensalada fresca Club Verde lechuga zanahoria repo pote 200 g                   |  100   |      Disco      |
|                    Ensalada gourmet Club Verde cap rucula che palycham 200 g                     |  115   |     Devoto      |
|                    Ensalada gourmet Club Verde cap rucula che palycham 200 g                     |  115   |      Disco      |
|                                  Ensalada mix Club Verde 500 g                                   |  116   |     Devoto      |
|                     Ensalada mix Club Verde lechuga zanahoria y cherry 200 g                     |  100   |      Disco      |
|                      Ensalada picnic Club Verde lechuga rúcula cherry 200 g                      |  100   |      Disco      |
|                                  Ensalada toscana los quinteros                                  |  119   |     Devoto      |
|                                  Ensalada toscana los quinteros                                  |  119   |      Disco      |
|                                     Escarola aprox. x 200 g                                      |   8    |      Disco      |
|                                    Esparrago Verde Importado                                     |  350   |      Disco      |
|                                  Esparrago Verde Importado 450g                                  |  372   | Tienda Inglesa  |
|                                        Espinaca Envasada                                         |  47    |     Devoto      |
